function_ID,run_ID,dim,best_fitness,time_period,communication_percentage,total_FEs,node_num,total_pop_size,interval,migration_size,buffer_capacity,migration_topology,buffer_manage,EA_parameters
23,5,30,755.352,31.8168,0,30000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,12,10,102.902,43.4833,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,30,805.662,15.2803,0,30000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,7,10,102.442,14.5415,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,416.228,5.14663,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,30,551.465,15.3041,0,30000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,30,624.966,15.307,0,30000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,12,10,386.829,9.0292,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,8,10,102.567,9.34033,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,13,10,102.271,43.3152,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,13,10,372.548,2.52045,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,30,698.23,15.2805,0,30000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,6,30,800.027,25.2395,0,30000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,14,10,377.386,1.28444,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,9,10,102.535,8.41621,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,15,30,776.417,15.2601,0,30000000,64,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,15,10,379.159,11.8152,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,30,661.033,126.656,0,30000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,14,10,102.378,43.2518,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,10,10,103.035,11.1631,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,30,698.241,22.7954,0,30000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,11,10,102.224,3.71676,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,30,660.051,27.282,0,30000000,256,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,15,10,102.28,43.2442,0,10000000,8,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,12,10,101.851,11.6762,0,10000000,512,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,1,10,371.729,1.56284,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,2,10,384.293,0.97644,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,1,10,103.222,3.37469,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,3,10,379.101,1.03649,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,4,10,383.305,1.0185,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,5,10,404.124,1.01372,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,2,10,102.647,2.74461,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,6,10,389.337,1.00905,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,7,10,378.978,1.01519,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,8,10,384.293,1.01173,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,3,10,102.383,2.82916,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,9,10,375.155,1.02308,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,10,10,378.978,1.03272,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
23,11,10,411.344,1.03488,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
26,4,10,102.737,2.79526,0,10000000,128,8192,50,2,80,lattice,online,CR/MR/Pool=0.8/0.2/2_tournament
